Date,Open,Low,High,Close,Adj close,Volume,% Change (24 hours),
2018-06-26,6092.26,6021.69,6192.11,6141.57,6141.57,3.83457e+08,0.873461,
2018-06-25,6260.4,6067.49,6286.36,6088.39,6088.39,3.91397e+08,-2.74681,
2018-06-24,6157.78,6095.25,6344.45,6260.35,6260.35,4.92834e+08,1.6657,
2018-06-23,6166.36,5782.13,6254.02,6157.78,6157.78,6.67479e+08,-0.142061,
2018-06-22,6051.47,6033.2,6257.88,6166.54,6166.54,3.50697e+08,1.90152,
2018-06-21,6720.64,5941.32,6731.51,6051.47,6051.47,8.62827e+08,-9.95694,
2018-06-20,6761.27,6687.66,6790.08,6720.64,6720.64,2.95691e+08,-0.600921,
2018-06-19,6741.28,6569.96,6817.9,6761.27,6761.27,4.0053e+08,0.296535,
2018-06-18,6714.56,6672.2,6839.6,6741.28,6741.28,3.70797e+08,0.394053,
2018-06-17,6457.78,6401.41,6802.03,6714.82,6714.82,4.30242e+08,3.98032,
2018-06-16,6503.1,6446.38,6585.77,6457.78,6457.78,2.24576e+08,-0.696903,
2018-06-15,6396.71,6345.99,6569.15,6503.1,6503.1,2.32803e+08,1.6632,
2018-06-14,6643.63,6380.69,6667.23,6396.71,6396.71,3.79229e+08,-3.71128,
2018-06-13,6310.43,6286.23,6719.44,6643.26,6643.26,6.20296e+08,5.27428,
2018-06-12,6556.94,6140.63,6623,6310.43,6310.43,7.97087e+08,-3.75952,
2018-06-11,6887.43,6462.61,6888.33,6556.94,6556.94,5.09372e+08,-4.79762,
2018-06-10,6773.72,6652.89,6913.85,6887.37,6887.37,4.82788e+08,1.67781,
2018-06-09,7513.76,6661.98,7514.04,6773.72,6773.72,8.95514e+08,-9.84829,
2018-06-08,7627.56,7495.72,7691.74,7513.69,7513.69,2.18014e+08,-1.49236,
2018-06-07,7700.4,7559.5,7709.61,7627.52,7627.52,3.10119e+08,-0.942712,
2018-06-06,7661.79,7651.13,7755.92,7700.11,7700.11,3.42476e+08,0.500142,
2018-06-05,7629.4,7504.98,7701.35,7661.79,7661.79,3.96116e+08,0.424544,
2018-06-04,7503.32,7394.97,7672.7,7629.4,7629.4,4.40337e+08,1.68195,
2018-06-03,7719.73,7469.21,7760.73,7503.2,7503.2,4.27448e+08,-2.80514,
2018-06-02,7643.26,7606.76,7774.96,7719.75,7719.75,3.32313e+08,1.00075,
2018-06-01,7530.55,7467.79,7697.34,7643.26,7643.26,3.62415e+08,1.4967,
2018-05-31,7501.74,7370.27,7614.66,7530.55,7530.55,4.58688e+08,0.378557,
2018-05-30,7393.02,7349.52,7608.87,7502.15,7502.15,4.58224e+08,1.47612,
2018-05-29,7474.75,7295.78,7571.08,7393.02,7393.02,5.05871e+08,-1.09341,
2018-05-28,7118.88,7069.01,7533.03,7474.75,7474.75,6.34849e+08,4.99896,
2018-05-27,7362.23,7092.91,7455.55,7118.88,7118.88,5.26854e+08,-3.30539,
2018-05-26,7355.06,7256.67,7420.07,7362.23,7362.23,3.41348e+08,0.0974828,
2018-05-25,7475.36,7314.71,7626.69,7355.06,7355.06,3.68323e+08,-1.60928,
2018-05-24,7584.78,7347.96,7652.37,7475.36,7475.36,6.34474e+08,-1.44211,
2018-05-23,7505.77,7283.77,7729.48,7584.74,7584.74,8.26278e+08,1.05213,
